Country,Code,2020,2021,2022,2023,2024,2025,2026
Afghanistan,AFG,26,26,26,27,28,26,24
Albania,ALB,114,114,114,115,123,123,121
Algeria,DZA,51,51,52,53,56,56,55
Andorra,AND,167,167,168,168,171,171,169
Angola,AGO,50,50,50,51,53,51,48
Antigua and Barbuda,ATG,151,151,150,151,153,153,154
Argentina,ARG,170,170,170,170,174,172,168
Armenia,ARM,63,63,65,66,68,68,64
Australia,AUS,184,184,185,185,189,189,182
Austria,AUT,187,187,188,188,192,191,184
Azerbaijan,AZE,67,67,69,70,72,72,67
Bahamas,BHS,155,155,155,155,158,161,158
Bahrain,BHR,83,83,84,87,91,87,87
Bangladesh,BGD,41,41,40,41,42,40,36
Barbados,BRB,161,161,161,163,165,165,163
Belarus,BLR,75,75,79,78,81,81,77
Belgium,BEL,185,185,186,186,191,190,185
Belize,BLZ,101,101,101,103,104,103,100
Benin,BEN,62,62,61,61,63,68,65
Bhutan,BTN,53,53,53,53,55,52,47
Bolivia,BOL,78,78,79,80,82,79,77
Bosnia and Herzegovina,BIH,117,117,117,118,121,123,121
Botswana,BWA,85,85,86,87,91,88,82
Brazil,BRA,170,170,169,170,173,171,168
Brunei,BRN,166,166,166,166,168,166,163
Bulgaria,BGR,171,171,173,174,179,178,177
Burkina Faso,BFA,59,59,58,58,60,60,56
Burundi,BDI,50,50,51,50,51,50,48
Cambodia,KHM,54,54,53,54,56,53,47
Cameroon,CMR,49,49,50,50,53,50,47
Canada,CAN,183,183,185,185,188,188,182
Cape Verde,CPV,66,66,66,66,69,68,63
Central African Republic,CAF,52,52,52,52,55,53,48
Chad,TCD,53,53,53,53,55,53,51
Chile,CHL,174,174,174,174,177,176,174
China,CHN,75,75,80,80,85,85,82
Colombia,COL,127,129,131,133,135,134,130
Comoro Islands,COM,53,53,53,53,55,54,50
Congo (DRC),COD,42,42,42,42,46,46,43
Congo (Rep.),COG,48,48,48,49,52,50,46
Costa Rica,CRI,150,150,150,150,152,151,148
Côte d'Ivoire,CIV,57,57,56,57,59,59,55
Croatia,HRV,171,171,173,174,179,184,181
Cuba,CUB,64,64,64,65,64,62,56
Cyprus,CYP,174,174,176,177,182,179,174
Czechia,CZE,184,184,185,186,189,187,182
Denmark,DNK,187,187,188,188,192,191,185
Djibouti,DJI,47,47,47,48,50,49,45
Dominica,DMA,141,143,144,145,144,145,145
Dominican Republic,DOM,66,66,70,70,74,75,71
Ecuador,ECU,91,92,91,92,95,95,93
Egypt,EGY,50,50,52,53,55,52,49
El Salvador,SLV,134,134,134,132,136,136,131
Equatorial Guinea,GNQ,55,55,55,55,58,57,52
Eritrea,ERI,42,42,43,44,43,42,38
Estonia,EST,179,179,181,181,187,186,181
eSwatini,SWZ,74,74,74,75,78,77,71
Ethiopia,ETH,44,44,45,46,47,46,42
Fiji,FJI,88,88,88,88,91,90,87
Finland,FIN,188,188,189,189,193,192,185
France,FRA,186,186,188,187,194,192,185
Gabon,GAB,57,57,57,57,61,60,55
Gambia,GMB,68,68,68,69,70,71,68
Georgia,GEO,115,115,115,116,121,122,120
Germany,DEU,189,189,190,190,194,192,185
Ghana,GHA,65,65,64,65,66,68,67
Greece,GRC,184,184,185,185,190,189,184
Grenada,GRD,144,144,144,146,148,148,147
Guatemala,GTM,133,133,133,133,137,135,132
Guinea,GIN,55,55,54,55,59,59,52
Guinea-Bissau,GNB,53,53,52,53,56,55,50
Guyana,GUY,88,88,87,88,91,92,88
Haiti,HTI,49,49,48,49,55,53,49
Honduras,HND,134,134,133,133,135,133,129
Hong Kong,HKG,170,170,171,171,171,171,174
Hungary,HUN,182,182,183,184,188,187,183
Iceland,ISL,180,181,180,180,185,184,179
India,IND,58,58,60,60,62,57,56
Indonesia,IDN,71,71,71,71,78,76,70
Iran,IRN,41,41,42,43,45,44,40
Iraq,IRQ,28,28,28,29,31,31,29
