Entity,Code,CO2_cumulative,CO2_capita_2024,CO2_capita_avg,INFORM_baseline,INFORM_P50,INFORM_O50,INFORM_P80,INFORM_O80,Migrant_stock,Migrant_perpop
Afghanistan,AFG,242635440,0.25384834,0.001992146,8,8.1,8,8.1,8.1,98110,0.230048698
Albania,ALB,307938100,1.5919901,0.007159781,2.6,2.7,2.7,2.8,2.7,46377,1.661207157
Algeria,DZA,5476568000,4.233817,0.000641903,3.9,4.1,3.8,4.2,3.7,259458,0.554227994
Andorra,AND,16654969,5.1816607,7.6600275,,,,,,48408,59.07881569
Angola,AGO,739587700,0.5894967,0.041052148,4.5,5.4,5.1,5.7,5,676507,1.785645611
Antarctica,ATA,153888,,,,,,,,,
Antigua and Barbuda,ATG,26920108,7.092406,0.26864195,2,2.2,2.2,1.9,2.1,30473,32.49690739
Argentina,ARG,9151537000,3.7434063,0.013673803,2.9,3.2,3.1,3.3,3.1,1958039,4.284909373
Armenia,ARM,406690050,2.498691,9.05281E-05,5.3,5.4,5.3,5.4,5.3,274645,9.235365722
Australia,AUS,20039670000,14.477199,0,2.4,2.6,2.6,2.6,2.6,8111404,30.36477278
Austria,AUT,5749662700,6.180112,0.053945992,1.9,2,2,2.1,2,2327064,25.51377821
Azerbaijan,AZE,2637138400,3.8533201,0.000253057,5.8,5.9,5.8,5.9,5.8,218460,2.113465609
Bahamas,BHS,180559860,7.64968,0.6581642,1.9,2.2,2.2,2.2,2.2,67285,16.76746835
Bahrain,BHR,1112192100,24.270082,0.091749094,1.1,1.4,1.4,1.6,1.5,840202,52.28228884
Bangladesh,BGD,2000965500,0.6240862,0.00307583,5.5,5.9,5.7,5.9,5.6,2906338,1.674520866
Barbados,BRB,63875010,4.8328743,0.021526476,1.8,1.8,1.8,1.8,1.7,35187,12.45703038
Belarus,BLR,5184231000,6.163221,0.000198019,1.4,1.6,1.5,1.7,1.6,1054604,11.64446725
Belgium,BEL,12906185000,7.2798314,1.9576033,1.9,2,2.1,2.1,2.1,2349032,20.01089893
Belize,BLZ,22517780,1.9085852,0.2651806,3.3,3.7,3.7,3.9,3.7,68706,16.47341466
Benin,BEN,128382440,0.4194466,0.06123682,4.1,4.9,4.6,5.1,4.6,418202,2.891585292
Bhutan,BTN,29797136,2.0939395,0.011875438,3.2,3.3,3.3,3.3,3.2,55705,7.037689318
Bolivia,BOL,641184260,2.3127308,0.002701708,3.5,3.9,3.8,4.1,3.8,183234,1.476108517
Bosnia and Herzegovina,BIH,1043487800,6.1391783,0.003083282,3.1,3.3,3.2,3.4,3.2,34120,1.078295572
Botswana,BWA,184335780,2.9596071,0.035320427,2.9,3.3,3.2,3.4,3.3,116402,4.617040155
Brazil,BRA,18198706000,2.2783718,0.028650621,5,5.1,5.1,5.1,5.1,1406299,0.66335305
Brunei,BRN,427762400,26.046202,0.10697498,1.9,2,2,2.1,2,119933,25.91907435
Bulgaria,BGR,3984196400,4.6793866,0.001217014,2.2,2.5,2.4,2.6,2.4,299100,4.426069326
