Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2024,Afghanistan,-,AFG,-,20866,370,3199710,0,0,600000,72886
2024,Albania,-,ALB,-,9381,0,0,0,2203,0,0
2024,Egypt,-,EGY,-,238014,638948,0,0,5,0,0
2024,Argentina,-,ARG,-,4409,4766,0,164616,34,75272,18
2024,Armenia,-,ARM,-,144379,975,0,0,373,0,0
2024,Australia,-,AUS,-,29511,91278,0,0,6922,0,950
2024,Austria,-,AUT,-,284828,28883,0,0,3919,0,0
2024,Azerbaijan,-,AZE,-,6431,267,655212,0,271,0,18
2024,Belgium,-,BEL,-,183551,53138,0,0,849,0,619
2024,Benin,-,BEN,-,16232,6993,8785,0,0,0,0
2024,Bangladesh,-,BGD,-,1005602,35,0,0,1005520,544641,0
2024,Belarus,-,BLR,-,43397,1224,0,0,5620,0,0
2024,Brazil,-,BRA,-,257079,74018,0,464395,27,0,496
2024,"Bosnia and Herzegovina",-,BIH,-,495,190,94796,0,23,0,673
2024,Bulgaria,-,BGR,-,108747,5981,0,0,862,0,0
2024,Canada,-,CAN,-,269496,292055,0,0,8166,0,0
2024,China,-,CHN,-,261,553,0,0,0,0,0
2024,Chile,-,CHL,-,2443,13345,0,523727,1688,101855,0
2024,Colombia,-,COL,-,1306,29305,7031498,2779604,5,807700,329
2024,Cuba,-,CUB,-,130,41,0,0,0,0,5
2024,Cyprus,-,CYP,-,45750,27553,0,0,130,0,0
2024,Czechia,-,CZE,-,391133,1065,0,0,588,0,478
2024,Denmark,-,DNK,-,98204,2628,0,0,8566,0,0
2024,"Dominican Rep.",-,DOM,-,18,986,0,125343,0,0,0
2024,Ecuador,-,ECU,-,23218,7023,0,439097,0,0,0
2024,Estonia,-,EST,-,42267,172,0,0,63944,0,0
2024,Ethiopia,-,ETH,-,1008826,63055,2272533,0,0,1876986,645
2024,Finland,-,FIN,-,93182,4386,0,0,1326,0,0
2024,France,-,FRA,-,721771,88554,0,0,2634,0,0
2024,Gambia,-,GMB,-,3964,447,0,0,0,0,0
2024,"United Kingdom of Great Britain and Northern Ireland",-,GBR,-,515677,124783,0,0,4672,0,389
2024,Georgia,-,GEO,-,31027,764,299172,0,488,0,0
2024,Germany,-,DEU,-,2749266,348903,0,0,28813,0,0
2024,Ghana,-,GHA,-,7479,9855,0,0,0,0,0
2024,Greece,-,GRC,-,116450,28244,0,0,3743,0,2106
2024,Guinea,-,GIN,-,2171,172,0,0,0,0,0
2024,Guyana,-,GUY,-,27,52,0,23400,0,0,0
2024,"China, Hong Kong SAR",-,HKG,-,260,0,0,0,0,0,0
2024,Croatia,-,HRV,-,28707,1220,0,0,758,0,41
2024,Hungary,-,HUN,-,72359,0,0,0,101,0,39
2024,Iceland,-,ISL,-,7879,1081,0,0,31,0,0
2024,India,-,IND,-,236763,13243,0,0,23262,0,0
2024,Indonesia,-,IDN,-,7799,4165,0,0,2643,0,238
2024,Ireland,-,IRL,-,124730,31711,0,0,48,0,0
2024,"Iran (Islamic Rep. of)",-,IRN,-,3489257,0,0,0,0,0,0
2024,Iraq,-,IRQ,-,318461,16882,1031475,0,233,0,2774
2024,Italy,-,ITA,-,312849,207278,0,0,3000,0,0
2024,Jordan,-,JOR,-,643641,31747,0,0,17,0,1209
2024,Japan,-,JPN,-,29068,31293,0,0,505,0,0
2024,Kazakhstan,-,KAZ,-,65833,319,0,0,7865,0,0
2024,Kenya,-,KEN,-,604257,219647,0,0,9800,401356,0
2024,Kyrgyzstan,-,KGZ,-,23678,1735,0,0,925,0,0
2024,"Rep. of Korea",-,KOR,-,4241,35843,0,0,248,0,0
2024,Kuwait,-,KWT,-,488,783,0,0,92000,0,18
2024,Libya,-,LBY,-,200335,76675,32791,0,0,0,0
2024,Lebanon,-,LBN,-,758642,6748,123774,0,40000,0,32201
2024,"Sri Lanka",-,LKA,-,232,268,4806,0,229,0,0
2024,Lithuania,-,LTU,-,53561,298,0,0,2236,0,0
2024,Luxembourg,-,LUX,-,10059,4285,0,0,85,0,6
2024,Latvia,-,LVA,-,49220,263,0,0,173891,0,0
2024,"North Macedonia",-,MKD,-,20911,26,0,0,159,0,48
2024,"Rep. of Moldova",-,MDA,-,135941,904,0,0,3164,0,0
2024,Mexico,-,MEX,-,150836,266710,262411,64347,13,0,94342
2024,Malaysia,-,MYS,-,138417,52926,0,0,120857,0,55866
2024,Mongolia,-,MNG,-,11,15,0,0,17,0,5
2024,Morocco,-,MAR,-,7470,11378,0,0,0,0,0
2024,Nepal,-,NPL,-,19598,276,0,0,467,0,553
2024,"Netherlands (Kingdom of the)",-,NLD,-,263399,46840,0,0,4428,0,0
2024,Nigeria,-,NGA,-,96387,30744,3432959,0,0,0,309
2024,Norway,-,NOR,-,123981,5913,0,0,1621,0,0
2024,"New Zealand",-,NZL,-,2063,3559,0,0,29,0,0
2024,Oman,-,OMN,-,294,420,0,0,0,0,0
2024,Pakistan,-,PAK,-,1560480,198852,3439,0,60,1456000,798631
2024,Panama,-,PAN,-,2658,8143,0,56921,928,2236,68874
2024,Paraguay,-,PRY,-,6071,1578,0,0,5,2254,0
2024,Peru,-,PER,-,6742,539957,0,1135215,32,16328,12706
2024,Philippines,-,PHL,-,962,1380,121576,0,30,0,121070
2024,"Papua New Guinea",-,PNG,-,7732,3251,84051,0,0,134,2177
2024,Poland,-,POL,-,1008871,10992,0,0,1486,0,1328
2024,Portugal,-,PRT,-,68603,2563,0,0,31,0,0
2024,Romania,-,ROU,-,184529,462,0,0,297,0,180
2024,"South Africa",-,ZAF,-,71171,100313,0,0,0,0,0
2024,"Russian Federation",-,RUS,-,10077,1363,0,0,90185,0,0
2024,Rwanda,-,RWA,-,114368,14193,0,0,14500,12134,7105
2024,Senegal,-,SEN,-,11836,1228,0,0,0,0,0
2024,Spain,-,ESP,-,429333,263965,0,0,10164,0,0
2024,"Serbia and Kosovo: S/RES/1244 (1999)",-,SRB,-,36068,202,209753,0,1715,0,592
2024,"South Sudan",-,SSD,-,514794,2677,944631,0,18000,1327345,0
2024,Sudan,-,SDN,-,793395,44593,11559970,0,0,32823,3563
2024,Suriname,-,SUR,-,24,3217,0,0,0,0,0
2024,Slovakia,-,SVK,-,144269,80,0,0,65,0,0
2024,Slovenia,-,SVN,-,12524,845,0,0,10,0,5
2024,Eswatini,-,SWZ,-,1295,3164,0,0,0,0,12
2024,Sweden,-,SWE,-,163029,5490,0,0,6835,0,0
2024,Switzerland,-,CHE,-,196167,17010,0,0,1267,0,97
2024,"Syrian Arab Rep.",-,SYR,-,11635,4767,7408909,0,160000,16471143,17683
2024,"United Rep. of Tanzania",-,TZA,-,176859,41264,0,0,0,0,12556
2024,Thailand,-,THA,-,84421,2604,0,0,612524,0,513
2024,Tajikistan,-,TJK,-,12157,3034,0,0,4466,0,0
2024,Turkmenistan,-,TKM,-,3409,0,0,0,0,0,0
